id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,other_data
,1,Hauptstr. 20 15910 Neu Lübbenau,<p>Hauptstr. 20<br/>15910 Neu Lübbenau</p>,,,,52.0753,13.8946,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Castroper Str. 174 44791 Bochum,<p>Castroper Str. 174<br/>44791 Bochum</p>,,,,51.489594,7.238667,0,GO,0,12,1,0,0,,a:0:{}
,1,Chausseestr. 32 15345 Lichtenow,<p>Chausseestr. 32<br/>15345 Lichtenow</p>,,,,52.4805,13.9109,0,GO,0,12,1,0,0,,a:0:{}
,1,Dresdner Str. 46 a 1796 Pirna,<p>Dresdner Str. 46 a<br/>1796 Pirna</p>,,,,50.9575,13.9165,0,GO,0,12,1,0,0,,a:0:{}
,1,Müggelpark 35 15537 Gosen,<p>Müggelpark 35<br/>15537 Gosen</p>,,,,52.3962,13.7206,0,GO,0,12,1,0,0,,a:0:{}
,1,Jesteburger Chaussee 19 21227 Bendestorf,<p>Jesteburger Chaussee 19<br/>21227 Bendestorf</p>,,,,53.335552,9.984544,0,GO,0,12,1,0,0,,a:0:{}
,1,Perleberger Str. 90/91 19322 Wittenberge,<p>Perleberger Str. 90/91<br/>19322 Wittenberge</p>,,,,53.01,11.7595,0,GO,0,12,1,0,0,,a:0:{}
,1,Rumburger Str. 3 2708 Löbau,<p>Rumburger Str. 3<br/>2708 Löbau</p>,,,,51.0841,14.6608,0,GO,0,12,1,0,0,,a:0:{}
,1,Jahnstr. 23 6766 Wolfen,<p>Jahnstr. 23<br/>6766 Wolfen</p>,,,,51.6519,12.2639,0,GO,0,12,1,0,0,,a:0:{}
,1,Woltersdorfer Str. 1 15562 Rüdersdorf,<p>Woltersdorfer Str. 1<br/>15562 Rüdersdorf</p>,,,,52.4655,13.8057,0,GO,0,12,1,0,0,,a:0:{}
,1,Dresdner Str. 17 1936 Schwepnitz,<p>Dresdner Str. 17<br/>1936 Schwepnitz</p>,,,,51.3282,13.9552,0,GO,0,12,1,0,0,,a:0:{}
,1,Zwickauer Str. 184 9116 Chemnitz,<p>Zwickauer Str. 184<br/>9116 Chemnitz</p>,,,,50.8217,12.8853,0,GO,0,12,1,0,0,,a:0:{}
,1,Bautzner Str. 9 2763 Oppach,<p>Bautzner Str. 9<br/>2763 Oppach</p>,,,,51.0612,14.4993,0,GO,0,12,1,0,0,,a:0:{}
,1,Zittauer Str. 58 2742 Neusalza-Spremberg,<p>Zittauer Str. 58<br/>2742 Neusalza-Spremberg</p>,,,,51.0364,14.5441,0,GO,0,12,1,0,0,,a:0:{}
,1,Hoyerswerdaer Str. 43 2994 Bernsdorf,<p>Hoyerswerdaer Str. 43<br/>2994 Bernsdorf</p>,,,,51.3827,14.0808,0,GO,0,12,1,0,0,,a:0:{}
,1,Gewerbegebiet Nord 1 9456 Mildenau,<p>Gewerbegebiet Nord 1<br/>9456 Mildenau</p>,,,,50.6003,13.0626,0,GO,0,12,1,0,0,,a:0:{}
,1,Forderstedter Str. 7 39418 Stassfurt,<p>Forderstedter Str. 7<br/>39418 Stassfurt</p>,,,,51.8642,11.5967,0,GO,0,12,1,0,0,,a:0:{}
,1,Charlottenburger Str. 61 22045 Hamburg,<p>Charlottenburger Str. 61<br/>22045 Hamburg</p>,,,,53.581608,10.138535,0,GO,0,12,1,0,0,,a:0:{}
,1,Magdeburger Chaussee 1b 6406 Bernburg,<p>Magdeburger Chaussee 1b<br/>6406 Bernburg</p>,,,,51.81,11.7241,0,GO,0,12,1,0,0,,a:0:{}
